institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue,ID,
Art Institute of Houston,TX,Houston,,,N/A,//www.artinstitute.edu/houston/,,74,
The Art Institute of Philadelphia,PA,Philadelphia,,,N/A,,,75,
Art Institute of Pittsburgh,PA,Pittsburgh,,,N/A,//www.artinstitutes.edu/pittsburgh/Admissions,,76,
Art Institute of Portland,OR,Portland,,,N/A,//www.artinstitutes.edu/portland/,,77,
Art Institute of Seattle,WA,Seattle,,,N/A,//www.ais.edu,,78,
Asbury University,KY,Wilmore,30952,1697,1060-1330,https://www.wju.edu/admissions/,67,79,
Ashford University,CA,San Diego,,,N/A,http://www.ashford.edu,,80,
Ashland University,OH,Ashland,21980,5019,975-1230,http://www.ashland.edu/admissions,68,81,
Assumption College,MA,Worcester,42316,1938,1090-1238,http://explore.usask.ca,81,82,
Athenaeum of Ohio,OH,Cincinnati,,51,N/A,http://www.minotstateu.edu,,83,
Athens State University,AL,Athens,13890,2886,N/A,http://www.athens.edu/,,84,
Atlanta Metropolitan State College,GA,Atlanta,,,N/A,//www.Atlm.edu,,85,
Auburn University,AL,Auburn,31124,24628,1150-1310,http://www.auburn.edu,75,86,
Auburn University--Montgomery,AL,Montgomery,18292,4632,990-1140,http://www.aum.edu,93,87,
Augsburg University,MN,Minneapolis,39945,2343,1173-1325,http://www.augsburg.edu,41,88,
Augustana College,IL,Rock Island,43610,2543,1070-1280,http://www.augustana.edu,72,89,
Augustana University,SD,Sioux Falls,33960,1792,1060-1330,http://www.augie.edu,65,90,
Augusta University,GA,Augusta,23156,5463,N/A,https://www.vcu.edu,76,91,
Aultman College of Nursing and Health Sciences,OH,Canton,,,N/A,,,92,
Aurora University,IL,Aurora,,,950-1130,http://www.aurora.edu,87,93,
Austin College,TX,Sherman,41155,1288,1130-1330,http://www.austincollege.edu,55,94,
Austin Graduate School of Theology,TX,Austin,,,N/A,,,95,
Austin Peay State University,TN,Clarksville,24467,9871,960-1170,http://www.apsu.edu,94,96,
Ave Maria University,FL,Ave Maria,21850,1088,1050-1260,http://www.avemaria.edu,83,97,
Averett University,VA,Danville,35600,965,890-1090,http://www.averett.edu,61,98,
Avila University,MO,Kansas City,,,940-1040,http://www.Avila.edu,39,99,
Azusa Pacific University,CA,Azusa,38880,5657,1020-1240,http://www.apu.edu,69,100,
Babson College,MA,Babson Park,52608,2361,1270-1450,http://www.babson.edu,24,101,
Bacone College,OK,Muskogee,,,805-978,http://www.bacone.edu/,73,102,
Baker College of Flint,MI,Flint,,,N/A,//www.baker.edu,,103,
Bakersfield College,CA,Bakersfield,,,N/A,//www.bakersfieldcollege.edu/,,104,
Baker University,KS,Baldwin City,29800,1214,930-1175,http://www.bakeru.edu,88,105,
Baldwin Wallace University,OH,Berea,33530,3136,1030-1250,http://www.bw.edu,74,106,
Ball State University,IN,Muncie,26984,,1080-1240,http://www.bsu.edu,62,107,
Baptist Bible College,MO,Springfield,,,N/A,//www.gobbc.edu/,,108,
Baptist College of Florida,FL,Graceville,11700,448,830-870,http://www.baptistcollege.edu,85,109,
Baptist Memorial College of Health Sciences,TN,Memphis,,,N/A,//www.bchs.edu/,,110,
Baptist Missionary Association Theological Seminary,TX,Jacksonville,,,N/A,//www.bmats.edu/,,111,
Barclay College,KS,Haviland,,,N/A,,,112,
Bard College,NY,Annandale on Hudson,56036,1893,1248-1420,http://www.bard.edu,65,113,
Bard College at Simon's Rock,MA,Great Barrington,55732,,1240-1440,http://www.simons-rock.edu,55,114,
Barnard College,NY,New York,57668,2562,1330-1500,http://www.barnard.edu,14,115,
Barry University,FL,Miami Shores,29850,3483,940-1100,http://www.barry.edu,91,116,
Barton College,NC,Wilson,31730,976,920-1120,http://www.barton.edu,40,117,
Bastyr University,WA,Kenmore,,,N/A,//www.bastyr.edu,,118,
Bates College,ME,Lewiston,55683,1832,1290-1460,http://www.bates.edu,18,119,
Bayamon Central University,PR,Bayamon,,,N/A,//www.ucb.edu.pr/,87,120,
Baylor University,TX,Waco,47364,14188,1190-1370,http://www.baylor.edu,52,121,
Bay Path University,MA,Longmeadow,35080,1924,888-1090,http://www.baypath.edu,60,122,
