institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
Asbury University,KY,Wilmore,30952,1697,1060-1330,https://www.wju.edu/admissions/,67
Ashford University,CA,San Diego,,,N/A,http://www.ashford.edu,
Ashland University,OH,Ashland,21980,5019,975-1230,http://www.ashland.edu/admissions,68
Assumption College,MA,Worcester,42316,1938,1090-1238,http://explore.usask.ca,81
Athenaeum of Ohio,OH,Cincinnati,,51,N/A,http://www.minotstateu.edu,
Athens State University,AL,Athens,13890,2886,N/A,http://www.athens.edu/,
Atlanta Metropolitan State College,GA,Atlanta,,,N/A,//www.Atlm.edu,
Auburn University,AL,Auburn,31124,24628,1150-1310,http://www.auburn.edu,75
Auburn University--Montgomery,AL,Montgomery,18292,4632,990-1140,http://www.aum.edu,93
Augsburg University,MN,Minneapolis,39945,2343,1173-1325,http://www.augsburg.edu,41
Augustana College,IL,Rock Island,43610,2543,1070-1280,http://www.augustana.edu,72
Augustana University,SD,Sioux Falls,33960,1792,1060-1330,http://www.augie.edu,65
Augusta University,GA,Augusta,23156,5463,N/A,https://www.vcu.edu,76
Aultman College of Nursing and Health Sciences,OH,Canton,,,N/A,,
Aurora University,IL,Aurora,,,950-1130,http://www.aurora.edu,87
Austin College,TX,Sherman,41155,1288,1130-1330,http://www.austincollege.edu,55
Austin Graduate School of Theology,TX,Austin,,,N/A,,
Austin Peay State University,TN,Clarksville,24467,9871,960-1170,http://www.apsu.edu,94
Ave Maria University,FL,Ave Maria,21850,1088,1050-1260,http://www.avemaria.edu,83
Averett University,VA,Danville,35600,965,890-1090,http://www.averett.edu,61
Avila University,MO,Kansas City,,,940-1040,http://www.Avila.edu,39
Azusa Pacific University,CA,Azusa,38880,5657,1020-1240,http://www.apu.edu,69
Babson College,MA,Babson Park,52608,2361,1270-1450,http://www.babson.edu,24
Bacone College,OK,Muskogee,,,805-978,http://www.bacone.edu/,73
Baker College of Flint,MI,Flint,,,N/A,//www.baker.edu,
Bakersfield College,CA,Bakersfield,,,N/A,//www.bakersfieldcollege.edu/,
Baker University,KS,Baldwin City,29800,1214,930-1175,http://www.bakeru.edu,88
Baldwin Wallace University,OH,Berea,33530,3136,1030-1250,http://www.bw.edu,74
Ball State University,IN,Muncie,26984,,1080-1240,http://www.bsu.edu,62
Baptist Bible College,MO,Springfield,,,N/A,//www.gobbc.edu/,
Baptist College of Florida,FL,Graceville,11700,448,830-870,http://www.baptistcollege.edu,85
Baptist Memorial College of Health Sciences,TN,Memphis,,,N/A,//www.bchs.edu/,
Baptist Missionary Association Theological Seminary,TX,Jacksonville,,,N/A,//www.bmats.edu/,
Barclay College,KS,Haviland,,,N/A,,
Bard College,NY,Annandale on Hudson,56036,1893,1248-1420,http://www.bard.edu,65
Bard College at Simon's Rock,MA,Great Barrington,55732,,1240-1440,http://www.simons-rock.edu,55
Barnard College,NY,New York,57668,2562,1330-1500,http://www.barnard.edu,14
Barry University,FL,Miami Shores,29850,3483,940-1100,http://www.barry.edu,91
Barton College,NC,Wilson,31730,976,920-1120,http://www.barton.edu,40
Bastyr University,WA,Kenmore,,,N/A,//www.bastyr.edu,
Bates College,ME,Lewiston,55683,1832,1290-1460,http://www.bates.edu,18
Bayamon Central University,PR,Bayamon,,,N/A,//www.ucb.edu.pr/,87
Baylor University,TX,Waco,47364,14188,1190-1370,http://www.baylor.edu,52
Bay Path University,MA,Longmeadow,35080,1924,888-1090,http://www.baypath.edu,60
Bay State College,MA,Boston,22320,700,N/A,https://www.baystate.edu/,70
Beacon College,FL,Leesburg,,,N/A,//www.beaconcollege.edu/,
Becker College,MA,Worcester,,,970-1160,http://www.beckercollege.edu,69
Belhaven University,MS,Jackson,26202,2308,1018-1213,http://www.belhaven.edu,52
Bellarmine University,KY,Louisville,42430,2552,1060-1270,http://www.bellarmine.edu,86
Bellevue College,WA,Bellevue,,,N/A,//www.bellevuecollege.edu,
Bellevue University,NE,Bellevue,,,N/A,//www.bellevue.edu,
Bellin College,WI,Green Bay,,,N/A,//www.bellincollege.edu/,
Bellingham Technical College,WA,Bellingham,,,N/A,//www.spokanefalls.edu,
Belmont Abbey College,NC,Belmont,18500,1556,950-1180,http://www.belmontabbeycollege.edu,80
Belmont University,TN,Nashville,35650,6656,1120-1300,//www.Belmont.edu,82
Beloit College,WI,Beloit,51532,1275,1120-1360,http://www.beloit.edu,56
Bemidji State University,MN,Bemidji,8696,4727,N/A,http://www.bemidjistate.edu,65
Benedict College,SC,Columbia,,,N/A,http://www.benedict.edu,
Benedictine College,KS,Atchison,30530,2057,1050-1280,http://www.benedictine.edu,97
Benedictine University,IL,Lisle,34290,2718,980-1190,//www.ben.edu,65
Benjamin Franklin Institute of Technology,MA,Boston,,,N/A,//www.bfit.edu,
Bennett College,NC,Greensboro,18513,534,800-1000,http://www.bennett.edu,96
Bennington College,VT,Bennington,55950,735,1230-1390,http://www.bennington.edu,57
Bentley University,MA,Waltham,51830,4253,1240-1410,http://www.bentley.edu,43
Berea College,KY,Berea,,1673,1030-1213,http://www.berea.edu,38
Berkeley College,NJ,Woodland Park,26500,3324,N/A,https://berkeleycollege.edu/,
Berkeley College,NY,New York,26500,3696,N/A,http://www.berkeleycollege.edu,
